,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,sample,geo_loc_name,ww_population,ww_sample_duration,ww_sample_matrix,isolation_source,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,fasta_file,collection_site_id,sequenced_by,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,purpose_of_ww_sampling,concentration_method,extraction_method,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,ww_processing_protocol,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,geo_loc_ENA,site id
SRR25726357,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726357,SRX21450437,,USA: Texas,131391.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10169.AY,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,fi2AKrwTxG5x
SRR25726348,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726348,SRX21450446,,USA: Texas,22191.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10169.BD,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,GfwdvYirnrh2
SRR25726237,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726237,SRX21450557,,USA: Arkansas,28500.0,0,post grit removal,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ar,11108.F,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,Ktae9mCi7bhd
SRR25726424,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726424,SRX21450454,,USA: Washington,20000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,wa,8347.G,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,8hBsT9wdAkPr
SRR25726440,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726440,SRX21450354,,USA: Florida,200000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,fl,8488.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,WWdW2fx4KKpS
SRR25726304,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726304,SRX21450490,,USA: Texas,9079.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10169.BA,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,duSfdPvPadb9
SRR25726403,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726403,SRX21450391,,USA: Arkansas,5000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ar,10689.B,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,khUGzcTETGqt
SRR25726241,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726241,SRX21450553,,USA: Virginia,5000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,va,10916.D,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,WXSbpirvUEFg
SRR25726353,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726353,SRX21450441,,USA: Arkansas,13000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ar,10685.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,dSM2N6jiCMBx
SRR25726289,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726289,SRX21450505,,USA: Kansas,90000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ks,10754.H,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,SQy5tDh7LqQU
SRR25726294,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726294,SRX21450500,,USA: Virginia,5300.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,va,10705.D,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,nFU3hA5XUPnE
SRR25726252,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726252,SRX21450542,,USA: Texas,30000.0,6,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10894.AB,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,4cswVQjREada
SRR25726370,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726370,SRX21450424,,USA: Texas,350,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10894.AJ,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,bqH5sTzdcQkr
SRR25726301,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726301,SRX21450493,,USA: Indiana,36000.0,24,post grit removal,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,in,8920.E,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,KzvJ25EJpTBr
SRR25726313,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726313,SRX21450481,,USA: North Dakota,67000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,nd,11174.C,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,fxnGZ5HVHYQQ
SRR25726308,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726308,SRX21450486,,USA: Virginia,20000.0,24,post grit removal,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,va,8004.F,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,TKHpibLFDeR5
SRR25726354,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726354,SRX21450440,,USA: Pennsylvania,10000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,pa,7705.G,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,HFPAdYZ9KBte
SRR25726230,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726230,SRX21450564,,USA: Vermont,10000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,vt,6964.D,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,LXVdq2reh48T
SRR25726328,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726328,SRX21450466,,USA: Maryland,150000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,md,11150.F,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,YVaQ9hnFjA3v
SRR25726231,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726231,SRX21450563,,USA: Tennessee,300000.0,18,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tn,10394.I,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,9kgZKc4FoimF
SRR25726315,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726315,SRX21450479,,USA: California,215394.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ca,11112.E,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,MahzJdzkQ86G
SRR25726253,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726253,SRX21450541,,USA: Alaska,15000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ak,8955.G,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,kmqhtSHChrZN
SRR25726349,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726349,SRX21450445,,USA: Iowa,102000.0,23,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ia,10711.E,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,TjawUgiLq6Zg
SRR25726335,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726335,SRX21450459,,USA: California,100000.0,23,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ca,10930.F,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,URBSoHDk4xdn
SRR25726330,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726330,SRX21450464,,USA: California,230000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ca,10992.F,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,KNE6bMKx5cqi
SRR25726332,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726332,SRX21450462,,USA: Virginia,51470.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,va,10707.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,jfmg9iXAeKQi
SRR25726326,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726326,SRX21450468,,USA: North Carolina,31536.0,24,post grit removal,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,nc,10906.H,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,2WvMWc3hJaLW
SRR25726364,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726364,SRX21450430,,USA: New Hampshire,43000.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,nh,10774.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,dwEn55eA25j7
SRR25726361,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726361,SRX21450433,,USA: Connecticut,52265.0,24,raw wastewater,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ct,10725.E,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,TWuX6cE4Dqwv
