,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,isolate,host,isolation_source,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,purpose_of_ww_sampling,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25726237,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726237,SRX21450557,,,wastewater,,,,USA: Arkansas,,,,28500.0,0,post grit removal,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ar,11108.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Ktae9mCi7bhd
SRR25726241,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726241,SRX21450553,,,wastewater,,,,USA: Virginia,,,,5000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,va,10916.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WXSbpirvUEFg
SRR25726293,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726293,SRX21450501,,,wastewater,,,,USA: Puerto Rico,,,,514464.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pr,9429.AI,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,3bq8BKBsA4sm
SRR25726403,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726403,SRX21450391,,,wastewater,,,,USA: Arkansas,,,,5000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ar,10689.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,khUGzcTETGqt
SRR25726440,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726440,SRX21450354,,,wastewater,,,,USA: Florida,,,,200000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,fl,8488.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WWdW2fx4KKpS
SRR25726303,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726303,SRX21450491,,,wastewater,,,,USA: Maine,,,,21000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,me,10908.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Ba5kqmzE9e5E
SRR25726357,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726357,SRX21450437,,,wastewater,,,,USA: Texas,,,,131391.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10169.AY,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,fi2AKrwTxG5x
SRR25726304,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726304,SRX21450490,,,wastewater,,,,USA: Texas,,,,9079.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10169.BA,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,duSfdPvPadb9
SRR25726407,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726407,SRX21450387,,,wastewater,,,,USA: Texas,,,,89600.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,11012.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,6UzeAt4xSMHA
SRR25726364,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726364,SRX21450430,,,wastewater,,,,USA: New Hampshire,,,,43000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nh,10774.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,dwEn55eA25j7
SRR25726408,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726408,SRX21450386,,,wastewater,,,,USA: Maryland,,,,90000.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,md,10679.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WpDXdJu8H4Gg
SRR25726435,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726435,SRX21450359,,,wastewater,,,,USA: Rhode Island,,,,6000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ri,10952.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Aa7mAJ8xLxN6
SRR25726429,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726429,SRX21450365,,,wastewater,,,,USA: North Carolina,,,,22940.0,23,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nc,10906.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,V39tMJLpqHbb
SRR25726253,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726253,SRX21450541,,,wastewater,,,,USA: Alaska,,,,15000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ak,8955.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,kmqhtSHChrZN
SRR25726252,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726252,SRX21450542,,,wastewater,,,,USA: Texas,,,,30000.0,6,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10894.AB,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,4cswVQjREada
SRR25726453,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726453,SRX21450341,,,wastewater,,,,USA: New Hampshire,,,,25000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nh,10717.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,ftztdAe844dd
SRR25726249,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726249,SRX21450545,,,wastewater,,,,USA: Colorado,,,,7300.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,co,10677.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hxiBhJgnoQhM
SRR25757710,,,,,,,,,,2023-08-14,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00031_08142023,,,,,,SRR25757710,SRX21480741,,,wastewater,,,,USA: Ohio,,,,29000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PD00031_08142023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0025917,utility provided information,bcov vaccine,46526.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12026253.24,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025917
SRR25726406,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726406,SRX21450388,,,wastewater,,,,USA: California,,,,220000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,8497.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GwnSGfgfukmH
SRR25726361,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726361,SRX21450433,,,wastewater,,,,USA: Connecticut,,,,52265.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ct,10725.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,TWuX6cE4Dqwv
SRR25726412,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726412,SRX21450382,,,wastewater,,,,USA: California,,,,60000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,11156.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,i465Qzwb2ok2
SRR25726329,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726329,SRX21450465,,,wastewater,,,,USA: Florida,,,,300000.0,23,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,fl,9337.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,2UiDemUQ4Q3Y
SRR25726359,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726359,SRX21450435,,,wastewater,,,,USA: North Carolina,,,,26000.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nc,10946.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HXwnAoYqUr2h
SRR25726431,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726431,SRX21450363,,,wastewater,,,,USA: Nevada,,,,265000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nv,11124.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,iNo5FLVrSPZ6
SRR25726411,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726411,SRX21450383,,,wastewater,,,,USA: Wyoming,,,,20000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wy,10818.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hwknKNGB6AgU
SRR25726373,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726373,SRX21450421,,,wastewater,,,,USA: Arkansas,,,,5500.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ar,10912.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,iYJRiu7mdhoz
SRR25726322,,,,,,,,,,2023-08-14,,,,,,,,,,,,,,,,,SRR25726322,SRX21450472,,,wastewater,,,,USA: California,,,,15000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,11187.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,ShdqDa8Nk5JM
